Sample,File,Animal,Species,Population,Diet,Tissue,Sex
W542_S113_L003,W542_S113_L003.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,L,M
W542_SI_S69,W542_SI_S69.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,SI,M
W543_C_S15,W543_C_S15.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,C,F
W543_FG_S74,W543_FG_S74.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,FG,F
W543_S99_L003,W543_S99_L003.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,L,F
W543_SI_S55,W543_SI_S55.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,SI,F
W544_C_S16,W544_C_S16.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,C,F
W544_FG_S87,W544_FG_S87.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,FG,F
W544_S112_L003,W544_S112_L003.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,L,F
W544_SI_S62,W544_SI_S62.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,SI,F
W546_C_S19,W546_C_S19.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,C,F
W546_FG_S38,W546_FG_S38.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,FG,F
W546_S114_L003,W546_S114_L003.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,L,F
W546_SI_S47,W546_SI_S47.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,SI,F
W547_C_S18,W547_C_S18.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,C,F
W547_FG_S41,W547_FG_S41.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,FG,F
W547_S106_L003,W547_S106_L003.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,L,F
W547_SI_S48,W547_SI_S48.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,SI,F
W548_C_S21,W548_C_S21.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,C,F
W548_FG_S40,W548_FG_S40.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,FG,F
W548_S120_L003,W548_S120_L003.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,L,F
W548_SI_S44,W548_SI_S44.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,SI,F
W549_C_S20,W549_C_S20.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,C,M
W549_FG_S77,W549_FG_S77.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,FG,M
