Name	gene_id
NBRY_4933412E24RIK_0001	4933412E24Rik
NBRY_4933430I17RIK_0001	4933430I17Rik
NBRY_5031439G07RIK_0001	5031439G07Rik
NBRY_5330417C22RIK_0001	5330417C22Rik
NBRY_5730480H06RIK_0001	5730480H06Rik
NBRY_5830411N06RIK_0001	5830411N06Rik
NBRY_6430548M08RIK_0001	6430548M08Rik
NBRY_6430571L13RIK_0001	6430571L13Rik
NBRY_7420426K07RIK_0001	7420426K07Rik
NBRY_8030462N17RIK_0001	8030462N17Rik
NBRY_8030474K03RIK_0001	8030474K03Rik
NBRY_8030474K03RIK_0002	8030474K03Rik
NBRY_9130008F23RIK_0001	9130008F23Rik
NBRY_9130409I23RIK_0001	9130409I23Rik
NBRY_9130409I23RIK_0002	9130409I23Rik
NBRY_9330182L06RIK_0001	9330182L06Rik
NBRY_9430007A20RIK_0001	9430007A20Rik
NBRY_9530053A07RIK_0001	9530053A07Rik
NBRY_9530068E07RIK_0001	9530068E07Rik
NBRY_9830107B12RIK_0001	9830107B12Rik
NBRY_9930012K11RIK_0001	9930012K11Rik
NBRY_9930111J21RIK1_0001	9930111J21Rik1
NBRY_9930111J21RIK1_0002	9930111J21Rik1
NBRY_9930111J21RIK1_0003	9930111J21Rik1
NBRY_A1BG_0001	A1bg
NBRY_A1BG_0002	A1bg
NBRY_A1BG_0003	A1bg
NBRY_A1BG_0004	A1bg
NBRY_A1CF_0001	A1cf
NBRY_A230050P20RIK_0001	A230050P20Rik
NBRY_A26C3_0001	A26c3
NBRY_A2ML1_0001	A2ml1
NBRY_A2ML1_0002	A2ml1
NBRY_A2ML1_0003	A2ml1
NBRY_A2M_0001	A2m
NBRY_A2M_0002	A2m
NBRY_A3GALT2_0001	A3galt2
NBRY_A4GALT_0001	A4galt
NBRY_A630089N07RIK_0001	A630089N07Rik
NBRY_A630089N07RIK_0002	A630089N07Rik
NBRY_A630089N07RIK_0003	A630089N07Rik
NBRY_A630089N07RIK_0004	A630089N07Rik
NBRY_A630089N07RIK_0005	A630089N07Rik
NBRY_A630089N07RIK_0006	A630089N07Rik
NBRY_A630089N07RIK_0007	A630089N07Rik
NBRY_A630089N07RIK_0008	A630089N07Rik
NBRY_A930018P22RIK_0001	A930018P22Rik
NBRY_AA986860_0001	AA986860
NBRY_AAAS_0001	Aaas
NBRY_AABR07016292-1_0001	AABR07016292.1
NBRY_AABR07016570-1_0001	AABR07016570.1
NBRY_AABR07016570-1_0002	AABR07016570.1
NBRY_AABR07027811-3_0001	AABR07027811.3
NBRY_AABR07027811-3_0002	AABR07027811.3
NBRY_AABR07027811-3_0003	AABR07027811.3
NBRY_AABR07027811-3_0004	AABR07027811.3
NBRY_AABR07027811-3_0005	AABR07027811.3
NBRY_AABR07029275-1_0001	AABR07029275.1
NBRY_AABR07045849-1_0001	AABR07045849.1
NBRY_AABR07045849-1_0002	AABR07045849.1
NBRY_AABR07045849-1_0003	AABR07045849.1
NBRY_AABR07045849-1_0004	AABR07045849.1
NBRY_AABR07045849-1_0005	AABR07045849.1
NBRY_AABR07045849-1_0006	AABR07045849.1
NBRY_AABR07045849-1_0007	AABR07045849.1
NBRY_AABR07049755-1_0001	AABR07049755.1
NBRY_AABR07049755-1_0002	AABR07049755.1
NBRY_AABR07053518-1_0001	AABR07053518.1
NBRY_AABR07056118-1_0001	AABR07056118.1
NBRY_AABR07057190-1_0001	AABR07057190.1
NBRY_AABR07063351-1_0001	AABR07063351.1
NBRY_AACS_0001	Aacs
NBRY_AADACL2_0001	Aadacl2
NBRY_AADACL4FM5_0001	Aadacl4fm5
NBRY_AADACL4_0001	Aadacl4
NBRY_AADACL4_0002	Aadacl4
NBRY_AADAT_0001	Aadat
NBRY_AAGAB_0001	Aagab
NBRY_AAK1_0001	Aak1
NBRY_AAMDC_0001	Aamdc
NBRY_AAMP_0001	Aamp
NBRY_AANAT_0001	Aanat
NBRY_AAR2_0001	Aar2
NBRY_AARS1_0001	Aars1
